name,distance,mass,radius
2mass j16150413+1340079 [de],42,0.045820224,0.09659721999999998
2mass j16262034+3925190 [de],71,0.10500468,0.10584589
2mass j18283572-4849046,45,0.037228932,0.09762484999999999
2mass j18432213+4040209,96,0.043911048,0.12537086
2mass j20004841-7523070,25,0.10023174,0.19319443999999997
2mass j21392676+0220226,46,0.0306422748,0.09865247999999999
2mass j21481628+4003593,55,0.0251056644,0.10173536999999999
2mass j22282889-4310262,42,0.03341058,0.09659721999999998
2mass j22373255+3922398,73,0.061093632,0.10687352
2mass j23224684-3133231,24,0.053456928,0.14284056999999997
2mass j23225299-6151275,17,0.141279024,0.16339317
2mass j23515044-2537367,88,0.063957396,0.11920507999999998
2massi j0103320+193536,52,0.06682116,0.10070773999999999
2massi j0117474-340325 [de],20,0.155597844,0.16647606
2massi j0727182+171001 [de],41,0.028255804800000003,0.09659721999999998
2massi j0835425-081923 [de],62,0.022461455640000003,0.102763
2massi j0847287-153237 [de],64,0.041047284,0.102763
2massi j0859254-194926 [de],50,0.0477294,0.10070773999999999
2massi j0937347+293142,42,0.01909176,0.09659721999999998
2massi j1010148-040649 [de],51,0.05250234,0.10070773999999999
2massi j1217110-031113 [de],42,0.034365168,0.09659721999999998
2massi j1526140+204341 [de],54,0.063957396,0.10070773999999999
2massi j1726000+153819,24,0.108823032,0.14386819999999997
2massi j2057540-025230,70,0.044865636,0.10481826
2massi j2104149-103736,69,0.059184456,0.10481826
2massi j2356547-155310,80,0.070639512,0.11201167000000001
2massw j0030300-145033,54,0.0832400736,0.10070773999999999
2massw j0045214+163445,23,0.054411516,0.16647606
2massw j1036530-344138 [de],49,0.050593164,0.09968010999999999
2massw j1155395-372735 [de],64,0.029592228,0.102763
2massw j1506544+132106 [de],69,0.043911048,0.10481826
2massw j1515008+484742 [de],57,0.032455992,0.10173536999999999
2massw j1552591+294849 [de],30,0.064911984,0.14695108999999998
2massw j1555157-095605 [de],71,0.042001872,0.10584589
2massw j1632291+190441 [de],49,0.0477294,0.09968010999999999
2massw j1841086+311727,67,0.131733144,0.10379063
2massw j2206450-421721,22,0.08877668400000001,0.13667479
2massw j2208136+292121,27,0.147006552,0.14489582999999998
2massw j2224438-015852,61,0.036274344,0.10173536999999999
2massw j2244316+204343,12,0.053456928,0.13256426999999998
cfbds j150411+102717,44,0.067775748,0.09659721999999998
cfbdsir 1458+10a,11.1,0.09927715200000001,0.1541445
cfbdsir 1458+10b,9,0.09927715200000001,0.13359189999999999
cha 110913-773444,8,0.155597844,0.18497339999999998
den 0255-4700,80,0.0154643256,0.09968010999999999
den 1048-3956,77,0.0125528322,0.10995641
denis j081730.0-615520,44,0.015368866800000002,0.09659721999999998
denis-p j0652197-253450 [de],75,0.048683988000000004,0.10790115
denis-p j0751164-253043 [de],71,0.05250234,0.10584589
denis-p j1058.7−1548,64,0.046774812,0.102763
denis-p j142527.97-365023.4 [de],21,0.036274344,0.13564716
denis-p j153941.96-052042.4 [de],63,0.048683988000000004,0.102763
hb 2124-4228,94,0.10786844400000001,0.12434322999999999
kelu-1a,63,0.058229868000000004,0.10070773999999999
kelu-1b,58,0.058229868000000004,0.10070773999999999
lhs 2021,88,0.05250234,0.11817744999999999
lhs 2924,76,0.036751638,0.10892878
lp 771-21,78,0.050593164,0.11098404
lp 944-20,73,0.0199508892,0.14695108999999998
lspm j1440+1339,92,0.068730336,0.12228796999999998
lspm j1658+7027 [de],73,0.057275280000000005,0.10687352
lsr 0602+3910 [de],28,0.0330287448,0.14489582999999998
lsr j1835+3259,77,0.017659878,0.10995641
luhman 16a,40,0.006220095408,0.10379063
luhman 16b,43,0.006220095408,0.10481826
pso j318.5−22,6.5,0.07636704,0.15722739
sdss j000013.54+255418.6 [de],48,0.044006506800000005,0.10173536999999999
